,TITLE,DESCRIPTION,TRAVELER_ID
25,동부 맛집·자연 위주 6일,함덕·세화·성산·우도 해변과 맛집 중심 동부 여행,h000053
26,동부·한라산 중심 3일,"구좌·조천 카페와 맛집, 한라산 동능 트레킹 루트",h000055
27,서귀포·제주 동선 맛집·전시 2일,"서귀포 맛집·카페와 전시, 제주시 카페 즐기기",h000057
28,동부·신화월드 중심 4일,우도·성산 맛집과 신화월드 숙박·식도락 여행,h000058
29,서귀포·애월 맛집 탐방 1일,서귀포 해산물·흑돼지와 애월 카페 위주의 먹거리 여행,h000059
30,동부·서귀포 맛집 위주 3일,서귀포·성산·함덕 중심 식당·카페 미식 여행,h000060
31,서귀포 서남부 맛집투어 2일,화순·모슬포 일대 한식 위주 식도락 여행,h000062
32,동부 맛집투어 루트 2일,남원·성산 해변과 흑돼지·해산물 맛집 중심,h000063
33,제주시·서귀포 미식투어 3일,제주시·안덕 일대 식당·시장 중심 먹방 여행,h000065
34,제주시·서귀포 2일 맛집·관광 루트,흑돼지·한상차림과 영화·민속촌·목장카페 코스,h000068
35,동·서귀포 맛집 중심 3일,"제주시-서귀포 식당·카페, 체험명소 골고루 방문",h000069
36,서귀포 남원·애월·용담 3일 루트,휴애리 자연공원과 맛집·카페 위주 일정,h000070
37,서귀포·제주시 맛집·바다뷰 2일,해장국·칼국수·고기·회와 해안도로·오름 코스,h000072
38,제주 시내·중문 미식 위주 4일,"제주시·서귀포 맛집과 카페, 오설록·휴애리 등 관광 동선",h000073
39,제주시·서귀포 맛집·전시 4일,카페·식당 중심에 전시·박물관·자연 숲 관람 포함한 루트,h000074
40,제주 서귀포·애월 미식투어 2일,호텔 뷔페·맛집·포차 위주의 미식 중심 여행,h000076
41,동부 맛집 탐방 루트 1일,조천·삼양 일대 한식·일식 위주의 식도락,h000078
42,서귀포·제주시 미식 중심 4일,"서귀포 맛집·호텔과 제주시 맛집, 산책 루트 위주",h000079
43,동·서부 맛집 중심 3일,신라호텔·우도·구좌 해변과 식도락 여행,h000080
44,제주 중문·서귀포 맛집투어 3일,카페·빵집과 한식·흑돼지 위주의 미식 여행,h000085
45,제주시 동·서부 맛집투어 7일,함덕·협재 해변 중심 식당·카페·빵집 위주 미식 여행,h000086
46,제주시 서부 맛집 중심 3일,협재·한림·함덕 위주의 식당·숙소 여행,h000087
47,제주시·서귀포 맛집·액티비티 3일,"테마파크, 수제떡, 제주맛집과 카페 위주 일정",h000091
48,동부·우도 위주 맛집투어 4일,"조천·구좌 맛집과 카페, 우도·성산 해안 동선",h000092
49,동부·서귀포 위주 3일,"동부 자연·맛집과 서귀포 카페, 야식 투어",h000093
50,제주시 애월 중심 2일 맛집·전시 루트,"제주시 분식·말고기·라면, 애월 식당·호텔과 아르떼뮤지엄, 안덕 혼술바 여행",h000094
51,동부 함덕·세화·성산·월정 3일,동문·동부 해변 따라 카페·맛집·민박 여행,h000095
52,제주시·서귀포 맛집 루트 1일,함덕·이도 분식·해장국·해산물 맛집 중심,h000097
53,제주 서부·동부 맛집·카페 4일,제주시·서귀포 시내와 애월·협재·위미 중심 먹거리·카페 위주 여행,h000098
54,제주시 원도심 맛집투어 3일,일도동·이도동 중심의 떡·국수·해물·베이커리 맛집 탐방,h000100
55,서부 애월·중문 미식 5일,카페·흑돼지·한식 위주의 서부 맛집 여행,h000103
56,동부 위주 맛집·체험 루트 3일,표선·성산·구좌 맛집과 해양·미로 체험 중심 여행,h000104
57,동부 맛집·카페 루트 3일,함덕·구좌·성산 위주 맛집·카페 중심 여행,h000105
58,제주 동서부 맛집투어 3일,애월·한림·성산·구좌·연동 위주 맛집 여행,h000106
59,제주시·동부 맛집 위주 3일,용두암·애월·성산·에코랜드 중심 식도락 여행,h000107
60,동부 위주 5일 먹거리·자연 여행,"구좌·성산 카페와 맛집, 해변·숲 휴양 중심 일정",h000108
61,동부 맛집·카페 위주 4일,"성산·구좌 식당과 카페, 관광지 여유로운 일정",h000111
62,제주시 동북부 맛집 중심 3일,제주시 동북부 한식·카페·숙소 위주 미식 여행,h000113
63,4일 제주 서부·동부 시내 루트,"애월 카페·맛집, 서귀포 시내·성산, 공항 인근 드라이브 중심",h000117
64,제주시 동부 맛집 중심 4일,세화·월정·조천 일대 식도락 위주의 여유 여행,h000120
65,서귀포 안덕·중문 3일 먹거리·카페투어,안덕·중문 숙소 중심의 음식점·카페 위주 일정,h000121
66,제주시·서귀포 맛집투어 3일,제주시·서귀포 한림·서귀동 위주 식도락 여행,h000123
67,서부·서귀포 맛집·카페 3일,서부·서귀포 식당·카페 위주의 미식 여행,h000124
68,동·서부 먹거리+관광 루트 3일,맛집 위주에 우주박물관·수족관·유배길 관광 포함 여행,h000125
69,중문·한림·조천 맛집투어 4일,중문·서귀포·제주시 전역 맛집 위주의 식도락 여행,h000126
70,제주 미식투어 5일,제주시·서귀포 현지맛집 위주의 식도락 여행,h000130
71,서귀포·우도 맛집 중심 2일,서귀포 숙소·술집·식당과 우도 카페 방문 루트,h000137
72,동부·서귀포·한림 맛집 중심 3일,함덕·성산·중문·한림 일대 맛집·카페 위주,h000138
73,서귀포 표선 1일 리조트 휴식,표선 소노캄제주 연회장 중심의 리조트 여행,h000141
74,동부·서귀포·서부 혼합 3일,"용암길·오름 트레킹과 호텔 식사, 서귀포 맛집 위주",h000143
75,서귀포·애월 맛집 위주 3일,중문·서귀포 식당·카페 중심 미식 여행,h000147
76,제주시 맛집 중심 2일,애월·용담 한식·패스트푸드 위주의 식도락,h000150
77,제주 동·서부 맛집 탐방 3일,제주시·서귀포 한식·흑돼지·회 중심 식도락,h000153
78,제주시 애월 맛집·카페 1일,제주시~애월 국수·돼지고기·도넛·온천 맛투어,h000154
79,제주시·표선 맛집 위주 3일,"제주시·표선 한식, 횟집, 카페 중심 미식 여행",h000155
80,서귀포·제주시 남서부 3일,카페·전시·중문 호텔과 흑돼지 맛집 중심 코스,h000156
81,제주시·서귀포 맛집+온천 3일,짬뽕·라면·고기·한식과 스파 위주 일정,h000158
82,동부 구좌·성산 위주 6일 루트,구좌 맛집·식당 중심의 동부 장기 여행,h000163
83,서·동부 맛집·카페 투어 3일,애월·한림·함덕 일대 맛집과 카페 중심 여행,h000168
84,제주시 맛집·동네산책 루트 3일,제주시 식당·카페 중심의 소도시 근교 탐방,h000170
85,제주시 서부 감성투어 3일,카페·맛집과 곽지·신창 해변 드라이브,h000171
86,서부·애월 맛집 위주 5일,대정·한경·한림·애월·용담 식당·펍 집중 미식 루트,h000172
87,제주시·서귀포 2일 도시·자연 루트,"빵집·맛집과 노형 상권, 해안도로·한라산 트레킹",h000173
88,제주 5일 서부 맛집·카페 중심 루트,"협재·한림 식도락과 우도, 서귀포 자연 감성 여행",h000176
89,서귀포 호캉스·맛집투어 3일,JW메리어트 중심 호텔 휴식과 서귀포 식당·카페 위주 여행,h000177
90,제주시 맛집·숙소·테마파크 3일,제주시 중심 식당·민박·테마파크·어촌식당 여행,h000179
91,제주도 기본 루트 0일,위치 정보 없어 전체 포괄 기본 일정,h000181
92,제주시·서귀포 카페 맛집 3일,"카페·맛집과 해안드라이브, 돌문화공원 관람",h000184
93,제주시 서부 맛집·카페 2일,협재·함덕 해변과 맛집 중심의 서부 드라이브,h000185
94,제주시·서귀포 맛집 중심 5일,제주시 위주 식당·카페와 서귀포 리조트 휴식 여행,h000186
95,제주 동서 맛집 중심 3일,제주시·서귀포시 한식·흑돼지·횟집 맛투어,h000188
96,동부·서부 맛집·자연 루트 5일,"함덕·구좌 카페와 맛집, 미로공원·스누피가든 등 동부 위주 힐링 여행",h000192
97,제주시·서귀포 시내 맛집투어 4일,"현지 식당·횟집과 카페, 펍 위주의 시내 미식 여행",h000194
98,제주시·서귀포 맛집 루트 1일,서귀포·제주시 한식·중식 중심 식도락 여행,h000198
99,동부·서귀포 위주 미식 3일,제주시 먹거리와 성산·표선 카페·맛집 중심,h000200
100,서귀포·동부 위주 맛집여행 3일,흑돼지·갈치·횟집 등 서귀포 맛집과 성산·세화 숙소·카페 중심,h000202
101,제주시·서귀포 맛집투어 4일,제주시 중심 식당·카페와 서귀포 해산물 맛집 위주 일정,h000203
102,제주시·서귀포 맛집·전시 3일,"제주시 중심 식도락과 카페, 서귀포 전시·해안 감성 코스",h000204
103,중문·신화월드 중심 미식 5일,"제주 서부·중문, 신제주 맛집·테마파크 위주",h000208
104,제주시 맛집투어 6일,제주시 중심 식당·카페 위주의 미식 여행,h000209
105,제주 북부·우도·서부 7일,동부 바다·우도 섬투어와 서부 카페·미술관·맛집 중심 여행,h000212
106,서귀포 시내 맛집·관광 1일,천지연유원지·이중섭거리 중심 서귀포 시내 맛집 탐방,h000215
107,서귀포 카페·식당 위주 1일,카멜리아힐 등 서귀포 카페·식당 중심,h000217
108,1일차 서귀포·제주시 맛집·카페 루트,"서귀포 식당 중심, 신화테마파크와 카페 포함",h000218
109,제주시·서귀포 맛집 중심 6일,"고기·해산물·분식과 카페, 빵집·시장 골고루 즐기는 미식 루트",h000221
110,제주 동·서·서귀포 맛집투어 4일,제주시·서귀포 골고루 도는 식도락 중심 여행,h000222
111,동부·제주시 맛집 카페 루트 1일,"남원·위미 맛집과 카페, 제주시 요거트·밥집 방문",h000224
112,제주 동부·중문·애월 루트 3일,"우도·해변·전망 명소와 중문 힐링, 맛집 중심 여행",h000225
113,동·남부 맛집 중심 4일,성산·서귀포 해산물·흑돼지 맛집과 카페 위주,h000228
114,제주 동·서 식도락 3일 루트,"제주시·서귀포 맛집과 시장, 애월해안 드라이브 중심",h000230
115,서귀포 서남부 관광·맛집 2일,애월~안덕~대정 중심 관광지·해산물·중식 맛집 코스,h000231
116,동부·제주시 먹거리 중심 3일,성산·세화 위주 식당과 제주시 베이커리·국수거리,h000232
117,제주 동·서·서귀포 감성 루트 3일,"국수·우동 맛집과 카페, 미술관·갤러리 즐기는 코스",h000233
118,1일차 서부-남부 맛집·숙소 루트,금악 식당 방문 후 위미 숙소에서 휴식 여행,h000234
119,제주시·서귀포 맛집 중심 2일,로컬 식당·분식·떡집·갤러리 즐기는 미식 여행,h000235
120,제주시 애월 카페·맛집 루트 3일,"애월 유적지와 해변, 카페·일식 맛집 중심 여행",h000237
121,제주 중문·노형·협재 맛집 루트 2일,중문·노형 중심의 칼국수·갈비·조림 등 맛집 위주 여행,h000238
122,동서부 맛집·관광 4일 루트,성산·중문 맛집과 아쿠아플라넷 포함 가족 여행,h000240
123,서귀포·제주시 맛집 중심 2일,한식·고기·탕·피자·빵 위주의 식도락 여행,h000245
124,동부·우도·제주시 먹킷리스트 4일,월정·우도·성산·제주시 맛집·카페 위주 일정,h000246
125,제주 동서일주 미식 루트 6일,현지 맛집·카페 중심 동서 해안 일주 여행,h000247
126,제주시 맛집투어 3일,해장국·갈비·흑돼지 위주 제주시 맛집여행,h000248
127,제주시 먹거리·산행 3일 루트,"제주시 맛집 중심, 한라산 산행과 함덕해수욕장 포함 코스",h000249
128,동서부 맛집·해변 루트 2일,카페·맛집과 함덕해수욕장 중심 여유 여행,h000250
129,서귀포·제주시 맛집 위주 5일,"김밥·국수·분식과 해산물, 국밥 등 식도락 중심",h000256
130,동부·서귀포 맛집·카페 2일,"서귀포 카페·식당 중심, 동부 오름·식당 방문 루트",h000257
131,제주시 서부 카페·맛집 루트 3일,애월·한림 카페와 고기·해산물 맛집 중심 일정,h000258
132,서귀포·제주시 맛집·카페 2일,서귀포·제주시 위주 빵집과 해물·술집 맛투어,h000259
133,제주시 동부 맛집 중심 3일,노형·함덕·구좌 맛집과 함덕해변 캠핑 여행,h000260
134,제주 동서 맛집투어 3일,제주시·서귀포시 식당·카페 중심 미식 여행,h000261
135,제주 동부·서귀포·애월 4일,해장국·흑돼지 맛집과 해변·실내체험 위주 일정,h000263
136,서부 맛집·카페 4일 루트,"제주시·한림·애월 위주 맛집과 카페, 전망 여행",h000264
137,제주시·성산·애월 중심 4일,맛집·카페와 우도·성산 일출·해변 코스,h000267
138,제주 동서부 맛집·카페 5일,"제주시·서귀포시 맛집 중심, 카페·자연휴양림·해변 포함 여행",h000271
139,제주시 북동부·카페맛집 루트 3일,조천·애월·한림 중심 자연 산책과 맛집 위주 여행,h000275
140,동부·서귀포 맛집투어 4일,성산·서귀동 중심 식당·카페 위주의 미식 여행,h000276
141,제주시·서귀포 맛집 위주 루트 3일,공항 인근·동부·서부 중심의 식당·카페 여행,h000280
142,제주 서부·동부 5일 루트,"애월·협재 카페와 맛집, 동부 자연·전시 위주 여행",h000281
143,동부·서부 맛집·카페 4일,우도·구좌·애월·서귀포 중심 식도락 여행,h000282
144,서귀포 중심 3일 루트,중문·표선·카페·맛집·전시 위주 일정,h000283
145,제주 동·서부 맛집 중심 4일,"제주시 위주 식도락 여행, 성산·서귀포 해산물·바비큐 포함",h000286
146,제주시·서귀포 동부 3일 루트,동부 맛집·카페와 함덕·휴애리 자연 관광 중심 여행,h000291
147,서부 감성 맛집·카페 루트 3일,"제주시·한림·한경·서귀포 맛집과 카페, 숙소 중심 서부 힐링 여행",h000294
148,제주 동서 맛집·카페 2일 루트,해변·카페·식당 위주의 동서 일주 미식여행,h000299
149,동·서귀포 맛집 위주 5일,성읍·성산·함덕·제주시내 식당·카페·전망대·박물관 중심 여행,h000300
150,제주시·서귀포 먹방 위주 3일,제주시 중심 식당·카페 위주의 맛집 탐방 루트,h000301
151,서부·동부 맛집투어 5일,중문·신화월드·함덕·공항 인근 위주의 식당·카페 중심 여행,h000304
152,동·서귀포 맛집·카페 중심 3일,제주시-성산·남원 위주의 빵집·식당·카페 맛투어,h000306
153,동·서귀포 맛집 중심 2일,세화·강정·법환동 위주 치킨·고기·식당 투어,h000307
154,서귀포·제주시 맛집+카페 3일,서귀포 동부 관광과 흑돼지·국수 위주 미식 여행,h000311
155,서귀포·제주시 맛집 중심 3일,중문·색달동 맛집과 공항 인근 식당 위주 여행,h000312
156,서귀포 서남부 온천·맛집 2일,"온천과 해변 산책, 해장국·해산물 맛집 중심",h000313
157,중문·서귀포 1박2일 힐링 루트,"중문·남원 자연공원과 중문 맛집, 제주시 카페·드라이브",h000314
158,서귀포 동네맛집 투어 3일,서귀포 서귀동 식당·음식거리 중심 미식 여행,h000315
159,동부 맛집·표선해변 1일,"제주시 동부 맛집 중심, 표선해변 산책·야영",h000317
160,서귀포·한림 체험·테마파크 3일,"서귀포 카페·맛집과 신화월드, 해수욕장 중심 여행",h000319
161,동부·서귀포 맛집 중심 4일,"함덕·구좌·성산·중문·애월 맛집과 카페, 펜션 위주 일정",h000321
162,제주 6일 맛집·온천·서귀포 위주,"제주시·서귀포 식도락과 카페, 온천·바다 감상 여행",h000322
163,식도락 위주 동서부 맛집 1일,서귀포·제주시 국밥·회·국수·베이글 맛집 투어,h000323
164,제주시 서부 미식·카페투어 3일,"협재·한림 맛집과 카페, 해수욕장 중심 여행",h000324
165,서부·동부 맛집 중심 4일,협재·애월·성산·함덕 식도락 위주 루트,h000328
166,제주시 애월 맛집 중심 3일,제주시·애월 한식 위주 식도락 여행,h000329
167,동부·서남부 맛집 중심 5일,제주시·성산·중문·한림 일대 식당·카페 위주의 미식 여행,h000334
168,제주시·서귀포 4일 맛집 위주 코스,공항·노형·한경·한라산 중심 식당·자연 관광,h000336
169,동부·서귀포 중심 먹거리 4일,"제주시·서귀포 카페·맛집과 박물관, 펜션 휴식 여행",h000337
170,동부 우도·성산 카페맛집 3일,우도·성산·구좌 동부 위주 카페·해산물 맛집,h000339
171,제주 3일 미식·카페·바다 드라이브,식당·카페 중심에 서귀포·협재·애월 해안 드라이브,h000340
172,제주 서귀포·제주시 미식 4일,흑돼지·해장국·횟집 중심의 맛집 여행,h000342
173,동부 성산 맛집 위주 3일,"성산읍 중심 식당·카페와 수산시장, 아쿠아플라넷 방문 루트",h000344
174,서귀·성산 위주 맛집 4일 루트,"서귀포·성산 일대 호텔·온천과 현지 맛집, 카페 여행",h000346
175,서귀포·제주시 맛집투어 2일,서귀포 위주 흑돼지·우동·가정식과 제주시 고기집 중심,h000351
176,제주시 동·서부 맛집 위주 5일,제주시 동·서부 식당·카페 중심 미식 여행,h000353
177,제주 서귀포·애월 맛집·카페 1일,애월 카페와 서귀포 리조트·레스토랑 중심,h000453
178,동부 우도·성산·서귀포 4일,우도·성산 관광과 서귀포 흑돼지·해산물 미식 여행,h000455
179,중문·성산 맛집 중심 3일 루트,"중문·성산 한식 맛집과 해장, 펜션 숙박 여행",h000456
180,서귀포 서남부 맛집투어 3일,서귀포·안덕 위주 맛집·펍 중심 식도락 여행,h000458
181,서부·제주시 먹거리+카페 루트 3일,"협재·애월 맛집과 펍, 카페, 문화공연 코스",h000459
182,제주 동서남 맛집·카페 3일,"서귀포 자연공원과 해산물, 제주시 카페·해장국 중심 루트",h000461
183,제주시·애월·동부 2일 루트,"고기국수·현지식 맛집과 카페, 전시·해안 드라이브 중심 여행",h000464
184,제주시·서귀포 맛집 중심 3일,호텔 조식과 제주시 구제주·카페·맛집 루트,h000468
185,제주 시내·서귀포 맛집 위주 4일,"제주시·서귀포 식당과 카페, 공연·공원 포함한 미식여행",h000473
186,성산 숙소·맛집 루트 2일,성산 숙소와 국수·흑돼지 맛집 위주 일정,h000475
187,제주시 애월 인근 1박2일 맛집·숙소,"애월 숙소와 카페, 해변·맛집 중심의 루트",h000476
188,서귀포 감성 게스트하우스 1일,남원 신례리 게스트하우스 숙박 중심 여행,h000478
189,동부·우도 중심 4일 루트,"서귀포 명소·우도·성산 일출, 해변·흑돼지 맛집 위주",h000480
190,제주시 애월·한림 2일 루트,애월 맛집·카페와 한림공원 중심 여유 일정,h000481
191,제주시·애월 위주 미식여행 4일,"고기·해산물 맛집과 카페, 온천·수족관 코스",h000482
192,서귀포·애월 중심 미식 여행 3일,"서귀포 맛집·카페와 관광 농원, 애월 펜션 휴식 루트",h000484
193,서귀포·제주시 2일 소도시 맛집투어,휴애리·티뮤지엄 방문과 고기·전복·짬뽕 맛집 중심,h000486
194,제주 남부 맛집투어 1일,서귀포·제주시 장어·중식·분식·돈가스 맛집 코스,h000487
195,제주시·서귀포 3일 미식루트,"신제주 식당·술집과 서귀포 공연, 협재 카페 중심 여행",h000488
196,제주시·서귀포 2일 먹거리 위주 여행,패스트푸드·카페 중심의 간단한 식도락 루트,h000489
197,제주시 맛집탐방 루트 2일,연동·오라이동 위주 식당 및 카페 여행,h000490
198,중문·성산 중심 미식+관광 4일,"제주시 식당, 성산·중문 맛집과 카멜리아힐 관광 위주 여행",h000491
199,성산·서귀포 맛집투어 3일,성산읍 위주 현지식당·카페·흑돼지 맛집 중심,h000494
200,서귀포·애월 중심 미식투어 4일,"서귀포 맛집·카페와 박물관, 숙소 위주의 일정",h000495
201,제주 시내·서귀포 맛집투어 7일,제주시·서귀포 식당·카페·바 중심 미식 여행,h000496
202,제주시 맛집·카페투어 2일,스시·고기 식도락과 카페 중심 도심 여행,h000498
203,서부·중문·제주시 3일 루트,"애월·한림 카페와 맛집, 서귀포 산책, 제주시 시장·식당 위주 여행",h000499
204,제주 서부·중문 맛집 위주 2일,애월 해변 산책과 전복·갈치·중문 한식 맛집 중심,h000500
205,제주 4일 서귀포·제주시 균형 여행,카페·맛집과 자연·액티비티가 어우러진 코스,h000512
206,2·3일차 애월·제주시 맛집 위주 4일,"서귀포 맛집과 애월·제주시 식당, 카페 중심 일정",h000514
207,제주 서부·서귀포 식도락 3일,애월·한림·서귀포 맛집 중심 식도락 여행,h000516
208,서부·서귀포 맛집·카페 3일,송악산·용머리·협재 중심의 식도락·카페 여행,h000518
209,제주 동·서부 자연·맛집 루트 2일,올레길·수목원·한라산 트레킹과 현지 맛집 방문,h000520
210,제주시 동부·애월 맛집투어 2일,유배길 산책과 곽지·애월 흑돼지·카페 중심,h000521
211,서귀포·제주시 미식 투어 2일,서귀포 화순·사계와 제주시 연동 중심 식도락 여행,h000522
212,제주 맛집·카페 중심 3일 루트,"제주시·서귀포시 맛집, 카페, 숙소·자연 명소 위주 여행",h000523
213,동부 맛집·우도 코스 4일,"구좌·성산 맛집과 카페, 우도 해변·먹거리 중심 여행",h000527
214,제주 동·서귀포 식당 중심 1일,제주시·서귀포 지역 한식·치킨 식사 코스,h000529
215,1일차 제주 동·남부 맛집투어,제주시 삼양과 서귀포 표선의 식당·카페 중심,h000530
216,제주시 애월·함덕 맛집 3일,"애월·함덕 해산물과 고기, 빵·카페 위주",h000531
217,제주 동서부 맛집·명소 3일,제주시 맛집·전망·카페와 서귀포 정원·국수 중심 코스,h000533
218,제주 동서일주 먹방·카페 7일,"제주시·서귀포시 전역 식당 위주, 카페·관광지 가볍게 들르는 7일 루트",h000534
219,제주시 맛집·카페 중심 4일,"제주시 내 국수·흑돼지·분식과 카페, 해수욕장·미로공원 관광 병행",h000536
220,동부·남부 위주 3일 힐링 루트,카페·펜션·해수욕장·온천·맛집 골고루 즐기는 일정,h000537
221,서귀포 실내·호텔 코스 2일,서귀포 카페·호텔 라운지와 실내 체험 위주,h000544
222,제주 동·서 1일 미식 루트,성산·노형 맛집 방문 중심의 식도락 여행,h000548
223,제주시 동부 구좌·김녕 4일 여행,김녕·월정 해변과 카페‧펜션 위주의 휴식 루트,h000549
224,제주시 한림읍 맛집·카페 4일,한림 협재·금능 중심의 맛집과 카페 위주 일정,h000550
225,제주시 맛집·카페 루트 4일,"제주시 중심 식도락과 카페, 미술관 여행",h000551
226,동부·제주시 식도락 중심 6일,구좌·성산·제주시 동부 맛집과 카페 위주 식도락 여행,h000553
227,제주시 맛집·카페 중심 4일,"제주시 도심 위주 식당·분식·카페, 함덕해변 포함",h000555
228,제주시 함덕 위주 맛집여행 3일,제주시 시내·함덕 일대 식당 중심 미식 루트,h000557
229,제주시·성산 동선 2일 미식여행,노형·공항 인근 식당과 성산 해산물 맛집 위주 일정,h000570
230,제주시 동·서부 당일 맛집·카페 투어 1일,"함덕·애월 해변 산책과 맛집, 카페 중심 코스",h000571
231,제주시 맛집 중심 루트 3일,제주시 중심 식당·고기·한식 위주 미식여행,h000574
232,동부·서귀포 맛집 중심 2일,성산·서귀동·구좌 일대 식당·빵집 위주 먹방 여행,h000580
233,동부·함덕·노형 3일 루트,구좌·성산 자연·전시와 함덕 맛집·해변 중심,h000581
234,제주시 함덕리 근교 성지순례 1일,김기량순교기념관 방문 중심의 역사·종교 탐방,h000583
235,서귀포 1박2일 시내 숙박·식도락,서귀포 시내 호텔 숙박과 샤브샤브 맛집 방문,h000584
236,동서부 온천·맛집·해변 3일,"온천과 해산물·베이커리, 애월·금능 해변 중심",h000585
237,제주시 맛집·근교 위주 3일,제주시 내 식당·카페·영화관 중심 도심 먹거리 여행,h000588
238,서귀포 신화월드 중심 4일 미식여행,신화월드·워터파크와 식당 위주의 식도락 루트,h000589
239,제주시·중문 맛집 중심 3일,제주시 한림·애월 맛집과 중문 식당 위주 일정,h000590
240,제주 동·서귀포 식도락 2일,베이커리·한식·일식·뷔페 위주의 맛집투어,h000592
241,동부 맛집·전시 루트 2일,성산·우도 위주 맛집 탐방과 빛의벙커 관람,h000595
242,동부 바닷가힐링 루트 3일,"함덕·월정 해변 중심, 카페·맛집·뷰맛집 위주 여행",h000597
243,제주 동서일주 맛집·카페 5일,해장국·흑돼지 등 식도락 위주 동서 해변 드라이브 여행,h000599
244,제주 동선 중심 3일 루트,함덕·남원·김녕·애월 맛집과 자연 풍경 여행,h000601
245,동부·서귀포·신화월드 4일 루트,맛집·해수욕장·우도·미술관·테마파크 중심 여행,h000602
246,동부 위주 3일 루트,우도·해변·맛집·리조트 즐기는 동부 코스,h000603
247,제주 2일 서부·동부 맛집 위주,애월·한경·구좌 카페·맛집과 포구 횟집 중심 루트,h000607
248,동부·남서부 맛집 중심 4일,제주시·표선·안덕 일대 호텔·로컬맛집 위주 여행,h000609
249,제주시·서귀포 맛집 중심 4일,"횟집·중식·양식과 카페, 미술관을 두루 즐기는 미식 여행",h000613
250,서부·서귀포 맛집 카페 루트 3일,애월 카페와 서귀포 레스토랑·디저트 여행,h000614
251,제주시·서귀포 미식·도심 4일,일식·회 중심의 맛집과 영화·호텔 휴식 루트,h000615
252,서귀포·제주시 2일 미술관·맛집 루트,미술관·전시 감상과 서귀포·제주 맛집 탐방 일정,h000616
253,제주시·서귀포 맛집투어 3일,국수·갈치·통족·연돈 등 서귀포 중심 미식여행,h000617
254,제주시 맛집투어 3일,제주시 일대 한식·일식·중식 위주 식도락 여행,h000619
255,서부 애월·한림·안덕 4일 루트,"애월·한림 카페와 식당, 액티비티 위주 여행",h000620
256,동부·서귀포·애월 일주 4일,"관광지·테마파크 중심, 카페·맛집 골고루 방문",h000624
257,제주시·서귀포 테마파크 3일,제주신화월드 테마파크와 맛집 중심 여행,h000627
258,제주 동·서부 맛집투어 6일,성산·구좌·애월·노형 중심 식당·카페 위주 루트,h000628
259,서귀포 맛집투어 중심 3일,흑돼지·김밥·치킨 등 식도락 위주 일정,h000629
260,"서귀포·애월 4일, 맛집·펜션 중심",전복·갈치 등 해산물 맛집과 펜션 휴식 위주 여행,h000630
